episode,reward,moves,success
288,-3008.071681,46,0
289,-5995,35,0
290,-2017,55,0
291,-1028,65,0
292,-3984,22,0
293,-993,30,0
294,-988.532736,22,0
295,-991,28,0
296,15,21,1
297,-5990,30,0
298,6.536952405,27,1
299,-4002.8432,41,0
300,-2000.463048,40,0
301,-10991,36,0
302,-3005,44,0
303,-989,26,0
304,-3984.463048,24,0
305,-6997.534729,37,0
306,-997.4630476,32,0
307,-4025,63,0
308,-3984.463048,24,0
309,-6021.463048,63,0
310,-1984.780895,19,0
311,-1997,35,0
312,-2994.781468,33,0
313,-3008.926095,47,0
314,-3989.709787,24,0
315,-4985.814791,26,0
316,-1989,25,0
317,-1988.604417,24,0
318,8.536952405,25,1
319,-3994,32,0
320,-4985.463048,18,0
321,-2986.463048,23,0
322,-1984.926095,22,0
323,-1011.709787,47,0
324,-5986.532736,27,0
325,-4988.610877,29,0
326,-1993,33,0
327,-984,21,0
328,14,22,1
329,-8029.071681,70,0
330,-3008.463048,49,0
331,-1980.814791,18,0
332,-6988,31,0
333,-1994,28,0
334,-4028,54,0
335,-996.8147908,31,0
336,13.2902134,21,1
337,-1980,20,0
338,5.536952405,30,1
339,-1995,33,0
340,-6010,52,0
341,-997.6108769,34,0
342,-989,26,0
343,-48,34,0
344,-1995,31,0
345,-4332,30,0
346,-12009,57,0
347,-1982,20,0
348,-980.4630476,17,0
349,-4997,38,0
350,-1983,21,0
351,-1984,22,0
352,-5986,28,0
353,-988.8147908,25,0
354,-989,26,0
355,-995.4630476,32,0
356,-2990,27,0
357,-1000.463048,35,0
358,-992.8432,26,0
359,-998,35,0
360,-985,22,0
361,-7025.709787,67,0
362,-1991.814791,29,0
363,-2993,32,0
364,-10.07168125,45,0
365,-1999,37,0
366,-994,31,0
367,13,23,1
368,-3993,33,0
369,-2991,30,0
370,-3990,30,0
371,-1983,21,0
372,-1993,33,0
373,-2003,41,0
374,-2990,29,0
375,-1988.463048,26,0
376,-1988.463048,26,0
377,-4011,51,0
378,-1001.463048,36,0
379,-2981,20,0
380,-5012,53,0
381,-2984,23,0
382,-1979,17,0
383,-1992.463048,30,0
384,12,24,1
385,-5020,61,0
386,-1980,18,0
387,16.5369524,19,1
388,-982,19,0
389,-1995,33,0
390,-3993,33,0
391,-1987,25,0
392,18,18,1
393,-2007.814791,45,0
394,-987,24,0
395,-994,31,0
396,-986,23,0
397,-998,35,0
398,-2982,23,0
399,-3026,65,0
400,12.5369524,23,1
401,-1984.463048,20,0
402,-2995,34,0
403,-1993,31,0
404,-14,50,0
405,-1996,34,0
406,-2013,51,0
407,-2018,56,0
408,-1991,29,0
409,-3990.463048,26,0
410,-983,18,0
411,-984,21,0
412,-987,24,0
413,-1016,53,0
414,20,16,1
415,-3023.071681,61,0
416,-2016,54,0
417,3,33,1
418,-981,18,0
419,-986.8147908,23,0
420,-1988,26,0
421,-3998.463048,38,0
422,-984,21,0
423,16,20,1
424,-982.0716813,18,0
425,-989,26,0
426,-1984,22,0
427,-992,29,0
428,-1006,43,0
429,-2989,28,0
