episode,reward,moves,success
246,-1991.0,29,0
247,-6997.0,40,0
248,-2995.6108769035027,34,0
249,-4000.0,40,0
250,-3983.0,23,0
251,-3992.0,32,0
252,-5999.0,41,0
253,-3018.0,57,0
254,-5985.0,27,0
255,-5021.463047595174,62,0
256,-3016.6108769035027,55,0
257,-5010.0,51,0
258,-6981.0,24,0
259,-5006.0,47,0
260,-4988.0,29,0
261,-2997.0,36,0
262,-3006.81479080473,45,0
263,-4983.0,24,0
264,-5001.0,42,0
265,-3010.0,49,0
266,-4001.0,41,0
267,-4991.0,32,0
268,-6004.0,46,0
269,-6998.0,41,0
270,-6989.0,32,0
271,-6000.0,42,0
272,-4002.0,42,0
273,-2001.0,39,0
274,-6000.0,42,0
275,-3006.0,45,0
276,-2019.0716812500891,56,0
277,-2004.0,42,0
278,-5008.0,49,0
279,-4006.0,46,0
280,-2983.0,22,0
281,-3000.0,39,0
282,-5999.0,41,0
283,-8005.0,49,0
284,-9004.0,49,0
285,-2991.0,30,0
286,-3995.0,35,0
287,-5000.0,41,0
288,-7018.0,61,0
289,-4016.0,56,0
290,-6998.0,41,0
291,-4003.0,43,0
292,-2981.0,20,0
293,-4000.0,40,0
294,-1994.0,32,0
295,-998.0,35,0
296,-1995.0,33,0
297,-985.0,22,0
298,-4999.81479080473,40,0
299,-3985.0,25,0
300,-8989.0,34,0
301,-1993.0,31,0
302,-4988.0,29,0
303,-4998.0,39,0
304,-5022.463047595174,63,0
305,-2000.0,38,0
306,-2994.0,33,0
307,-1008.0,45,0
308,-2999.0,38,0
309,-4000.0,40,0
310,-2993.0,32,0
311,-2010.0,48,0
312,-3006.0,45,0
313,-3008.0,47,0
314,-1006.0,43,0
315,-1998.0,36,0
316,-5005.0,46,0
317,-997.0,34,0
318,-2990.0,29,0
319,-3998.0,38,0
320,-1000.0,37,0
321,-2002.0,40,0
322,-1989.0,27,0
323,-2996.0,35,0
324,-5006.0,47,0
325,-1994.0,32,0
326,-1984.0,22,0
327,-2004.0,42,0
328,-4006.0,46,0
329,-2981.0,20,0
330,-2994.0,33,0
331,-4994.0,35,0
332,-2004.0,42,0
333,-2993.0,32,0
334,-6022.0,64,0
335,-3993.7097865986966,32,0
336,-2987.0,26,0
337,-4022.0,62,0
338,-3002.0,41,0
339,-4009.0,49,0
340,-985.0,22,0
341,-4995.0,36,0
342,-1002.0,39,0
343,-3984.81479080473,24,0
344,-2991.81479080473,30,0
345,-2983.0,22,0
346,-2000.0,38,0
347,-2981.81479080473,20,0
348,-988.0,25,0
349,-3989.0,29,0
350,-4001.071681250089,40,0
351,-4012.071681250089,51,0
352,-1995.0,33,0
353,-2005.0,43,0
354,-1995.0,33,0
355,-994.0,31,0
356,-987.0,24,0
357,-3991.0,31,0
358,-1994.0,32,0
359,-4997.0,38,0
360,-4981.0,22,0
361,-1993.0,31,0
362,-1995.0,33,0
363,-1991.0,29,0
364,-1000.0,37,0
365,-4001.0,41,0
366,-4991.0,32,0
367,-4993.0,34,0
368,-3983.0,23,0
369,-995.0,32,0
370,-995.0,32,0
371,-2989.0,28,0
372,-2995.0,34,0
373,-990.0,27,0
374,-2993.0,32,0
375,-6002.0,44,0
376,-989.8147908047299,26,0
377,-4012.0,52,0
378,-2979.0,18,0
379,-1998.0,36,0
380,-1996.0,34,0
381,-1993.0,31,0
382,-1993.0,31,0
383,-2989.0,28,0
384,-2009.0,47,0
385,-2995.0,34,0
386,-3008.0,47,0
387,-1999.532735987915,36,0
388,-1002.0,39,0
389,-4003.0,43,0
390,-1993.0,31,0
391,-1989.0,27,0
392,-998.0,35,0
393,-4001.78089490652,40,0
394,-2002.0,40,0
395,-2000.0,38,0
396,-1995.0,33,0
397,-2989.463047595174,28,0
398,-2006.0,44,0
399,-989.0,26,0
400,-994.0,31,0
401,-3999.0,39,0
402,-3993.0,33,0
403,-2996.0,35,0
404,-3991.0,31,0
405,-5991.0,33,0
406,-2016.0,54,0
407,-2998.0,37,0
408,-1991.0,29,0
409,-2981.0,20,0
410,-992.0,29,0
411,-2994.0,33,0
412,-4003.0,43,0
413,-993.0,30,0
414,-2996.0,35,0
415,-2991.0,30,0
416,-1991.0,29,0
417,-2991.0,30,0
418,-998.0,35,0
419,-1998.0,36,0
420,-5001.463047595174,42,0
421,-1992.0,30,0
422,-1996.0,34,0
423,-2992.0,31,0
424,-2996.0,35,0
425,-1993.0,31,0
426,-2994.0,33,0
427,-3047.236799926758,40,0
428,-9004.709786598696,48,0
429,-2998.0,37,0
430,-1981.0,19,0
431,-3998.0,38,0
432,-992.0,29,0
433,-1992.0,30,0
434,-1994.0,32,0
435,-4992.0,33,0
436,-3989.0,29,0
437,-3002.0,41,0
438,-2993.5956857112496,30,0
439,-1996.0,34,0
440,-2998.0,37,0
441,-1992.0,30,0
442,-1000.0,37,0
443,-993.0,30,0
444,-2994.0,33,0
445,-1995.0,33,0
446,-998.0,35,0
447,-1994.0,32,0
448,-2990.0,29,0
449,-4998.0,39,0
450,-1992.0,30,0
451,-987.8147908047299,24,0
452,-996.0,33,0
453,-2994.0,33,0
454,-1994.0,32,0
455,-1987.0,25,0
456,-2991.0,30,0
457,-1000.0,37,0
458,-4002.0,42,0
459,-2991.0,30,0
460,-1984.81479080473,22,0
461,-2982.0,21,0
462,-990.0,27,0
463,-2989.0,28,0
464,-1990.0,28,0
465,-995.0,32,0
466,-1996.0,34,0
467,-2991.0,30,0
468,-3002.0,41,0
469,-996.0,33,0
470,-2002.0,40,0
471,-2004.0,42,0
472,-1994.0,32,0
473,-992.0,29,0
474,-1989.0,27,0
475,-987.0,24,0
476,-1994.0,32,0
477,-3994.0,34,0
478,-990.0,27,0
479,-994.0,31,0
480,-2992.0,31,0
481,-1998.0,36,0
482,-1989.0,27,0
483,-2992.0,31,0
484,-5003.81479080473,44,0
485,-1996.0,34,0
486,-4991.0,32,0
487,-996.0,33,0
488,-997.0,34,0
489,-4992.0,33,0
490,-1991.0,29,0
491,-996.0,33,0
492,-1992.0,30,0
493,-1987.0,25,0
494,-3990.0,30,0
495,-2992.0,31,0
496,-994.0,31,0
497,-1993.0,31,0
498,-3986.0,26,0
499,-3002.0,39,0
500,-2000.0,38,0
501,-3001.0,40,0
